ID;Name;Street;OperatingOrgName;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;geoData;global_id
1;«Дербеневская наб.», 3-й Дербеневский переулок (7);3-й Дербеневский переулок;ГУП «Мосгортранс»;Южный административный округ;Даниловский район;"А632; А13";Дербеневская наб.;;да;"Геоданные:  
Координаты: [
  37.6551636,
  55.72566817
] 
Тип: Point";889076457.0
2;«Наб. Тараса Шевченко», набережная Тараса Шевченко (11);набережная Тараса Шевченко;ГУП «Мосгортранс»;Западный административный округ;район Дорогомилово;"А205; А91";Наб. Тараса Шевченко;;да;"Геоданные:  
Координаты: [
  37.57240854,
  55.74944352
] 
Тип: Point";889076459.0
3;«Наб. Тараса Шевченко», набережная Тараса Шевченко (12);набережная Тараса Шевченко;ГУП «Мосгортранс»;Западный административный округ;район Дорогомилово;А91;Наб. Тараса Шевченко;;да;"Геоданные:  
Координаты: [
  37.57271647,
  55.74976112
] 
Тип: Point";889076460.0
4;«ВКНЦ», 3-я Черепковская улица (27);3-я Черепковская улица;ГУП «Мосгортранс»;Западный административный округ;район Кунцево;"А798; А816; А660";ВКНЦ;;да;"Геоданные:  
Координаты: [
  37.37550932,
  55.7572642
] 
Тип: Point";889076461.0
5;«Новосущевская ул.», улица Сущёвский Вал (33);улица Сущёвский Вал;ГУП «Мосгортранс»;Северо-Восточный административный округ;район Марьина Роща;"А126; А84; А384; АТ18; АТ42";Новосущевская ул.;;да;"Геоданные:  
Координаты: [
  37.60337594,
  55.79289095
] 
Тип: Point";889076463.0
6;«Керамический пр.», Дубнинская улица (35);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Керамический пр.;;да;"Геоданные:  
Координаты: [
  37.55724554,
  55.89460802
] 
Тип: Point";889076464.0
7;«Ин-т Стали», Дубнинская улица (36);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Ин-т Стали;;да;"Геоданные:  
Координаты: [
  37.55729147,
  55.89142924
] 
Тип: Point";889076465.0
8;«Мкр. Дубки», Дубнинская улица (37);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Мкр. Дубки;;да;"Геоданные:  
Координаты: [
  37.55730686,
  55.88768746
] 
Тип: Point";889076466.0
9;«Д/к Юность», Дубнинская улица (38);Дубнинская улица;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А167; А677; А677К";Д/к Юность;;да;"Геоданные:  
Координаты: [
  37.5573643949,
  55.8833589241
] 
Тип: Point";889076467.0
10;«Баскетбольная школа», улица 800-летия Москвы (39);улица 800-летия Москвы;ГУП «Мосгортранс»;Северный административный округ;район Восточное Дегунино;"А799; А179; А748; А167; А857; А149";Баскетбольная школа;;да;"Геоданные:  
Координаты: [
  37.55636146,
  55.88011364
] 
Тип: Point";889076469.0
11;«Ул. 800-летия Москвы», Дмитровское шоссе (40);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А63; А843; А994; АТ36; АТ78";Ул. 800-летия Москвы;;да;"Геоданные:  
Координаты: [
  37.54599654,
  55.87767168
] 
Тип: Point";889076470.0
12;«Бескудниково», Дмитровское шоссе (41);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Бескудниковский район;"А179; А563; А763; А63; А843; А994; АТ36; АТ78";Бескудниково;;да;"Геоданные:  
Координаты: [
  37.54704248,
  55.87458982
] 
Тип: Point";889076471.0
13;«Селигерская ул.», Дмитровское шоссе (42);Дмитровское шоссе;;Северный административный округ;Бескудниковский район;"А206к; А63";Селигерская ул.;;нет;"Геоданные:  
Координаты: [
  37.54674812,
  55.86919544
] 
Тип: Point";889076472.0
14;«Парк Святослава Федорова», Дмитровское шоссе (43);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А179; А563; А194; А763; А215; А591; А843; А994; АТ36; АТ56; АТ78";Парк Святослава Федорова;;да;"Геоданные:  
Координаты: [
  37.5484894912,
  55.8633348164
] 
Тип: Point";889076473.0
15;«Ильменский пр.», Дмитровское шоссе (44);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А179; А563; А194; А763; А215; А591; А843; А994; АТ36; АТ56; АТ78";Ильменский пр.;;да;"Геоданные:  
Координаты: [
  37.55318989,
  55.86077256
] 
Тип: Point";889076475.0
16;«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;район Западное Дегунино;"А179; А563; А194; А763; А215; А591; А843; А994; АТ36; АТ56; АТ78";Метро Верхние Лихоборы - Северный вестибюль;;да;"Геоданные:  
Координаты: [
  37.5582614716,
  55.8582121735
] 
Тип: Point";889076476.0
17;«Нижн. Лихоборы», Дмитровское шоссе (47);Дмитровское шоссе;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А215; А282";Нижн. Лихоборы;;да;"Геоданные:  
Координаты: [
  37.5673105,
  55.84733792
] 
Тип: Point";889076478.0
18;«Метро Петровско-Разумовская», Локомотивный проезд (48);Локомотивный проезд;ГУП «Мосгортранс»;Северный административный округ;Тимирязевский район;"А204; А114; А282; А300; А461; АТ19";Метро Петровско-Разумовская;;да;"Геоданные:  
Координаты: [
  37.57585651,
  55.83716907
] 
Тип: Point";889076479.0
19;«Михалковская ул.», Большая Академическая улица (49);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А300; А461; А591; АТ19; АТ57";Михалковская ул.;;да;"Геоданные:  
Координаты: [
  37.53956854,
  55.8371443498
] 
Тип: Point";889076480.0
20;«Стадион Наука», Большая Академическая улица (50);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";Стадион Наука;;да;"Геоданные:  
Координаты: [
  37.5328525,
  55.83295208
] 
Тип: Point";889076481.0
21;«Управа района Коптево», улица Зои и Александра Космодемьянских (51);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А780; А204; А282; А591";Управа района Коптево;;да;"Геоданные:  
Координаты: [
  37.52242762,
  55.82411549
] 
Тип: Point";889076483.0
22;«К/т Рассвет», улица Зои и Александра Космодемьянских (52);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А780; А204; А282; А591";К/т Рассвет;;да;"Геоданные:  
Координаты: [
  37.51887274,
  55.82307265
] 
Тип: Point";889076484.0
23;«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (53);улица Зои и Александра Космодемьянских;;Северный административный округ;Войковский район;"А179; А780; АО23; А204; АО27; А282; А591";3-й Новоподмосковный пер.;;нет;"Геоданные:  
Координаты: [
  37.51071983,
  55.82087948
] 
Тип: Point";889076485.0
24;«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (54);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;Войковский район;"А179; А780; АО23; А204; АО27; А282; А591";3-й Новоподмосковный пер.;;да;"Геоданные:  
Координаты: [
  37.51203859,
  55.8210445
] 
Тип: Point";889076486.0
25;«К/т Рассвет», улица Зои и Александра Космодемьянских (55);улица Зои и Александра Космодемьянских;ГУП «Мосгортранс»;Северный административный округ;Войковский район;"А179; А780; АО23; А204; АО27; А282; А591";К/т Рассвет;;да;"Геоданные:  
Координаты: [
  37.51687828,
  55.82237098
] 
Тип: Point";889076487.0
26;«Управа района Коптево», улица Зои и Александра Космодемьянских (56);улица Зои и Александра Космодемьянских;;Северный административный округ;район Коптево;"А179; А780; А204; А282; А591";Управа района Коптево;;нет;"Геоданные:  
Координаты: [
  37.5231852,
  55.82399093
] 
Тип: Point";889076488.0
27;«Стадион Наука», Большая Академическая улица (57);Большая Академическая улица;ГУП «Мосгортранс»;Северный административный округ;район Коптево;"А179; А204; А114; А323; А282; А461; А591; АТ19; АТ57";Стадион Наука;;да;"Геоданные:  
Координаты: [
  37.53338601,
  55.83304516
] 
Тип: Point";889076489.0
